ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: _product_sku","Meta: _product_year","Meta: _product_condition","Meta: _product_stock_status","Meta: _product_specs","Meta: _product_expert_id","Meta: _product_expert_review","Meta: _lightspeed_unit_id","Meta: _product_price","Meta: _product_msrp","Meta: _lightspeed_vin","Meta: _lightspeed_web_title","Meta: _lightspeed_color","Meta: _lightspeed_class","Meta: _lightspeed_unit_type","Meta: _lightspeed_raw_json","Meta: _lightspeed_last_sync","Meta: _lightspeed_unmapped_type","Meta: _product_monthly_payment"
215,simple,HS-STRK550R-26,,"Hisun Strike 550R — Adult Sport UTV",1,0,visible,"Full-size two-seat sport UTV. 550cc, long-travel suspension, four factory colours.","<p>The Strike 550R is Hisun's full-size adult sport machine. 550cc power, long-travel suspension, and the ground clearance to handle Northern Ontario trail terrain without bottoming out. This is where Hisun competes directly with bigger-name sport UTVs — similar capability at a price point that makes more sense for most buyers.</p>\n<p>Available in Black Ops, Destroyer Grey, Tactical Tan, and Voodoo Blue. Real sport suspension, aggressive stance, and the Outlaw Ride Day lifestyle photography shows the machine in proper trail conditions.</p>\n<p>Reyco handles sales, delivery, warranty service, and parts. Financing through our standard <a href=""/financing/apply/"">application process</a> — bundle with accessories (winch, plow, windshield) into one monthly payment.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_strike550blue-110937.png,,,,,,,,,0,Hisun,HS-STRK550R-26,2026,new,on_order,"Engine|546cc Single-Cylinder
Seating|2
Drive|2WD/4WD Select
Transmission|CVT with H/L/N/R/P
Colours|Black Ops, Destroyer Grey, Tactical Tan, Voodoo Blue
Warranty|Hisun Manufacturer",1,"Strike 550R punches above its price tag. For customers who want a sport UTV without paying flagship money, it's the machine I point them at. Suspension is legit — holds up on rough trail work without losing composure."
216,simple,HS-SEC550EPS-26,,"Hisun Sector 550 EPS — Utility UTV",1,0,visible,"Mid-tier utility with electric power steering. Five factory colours, real work capability.","<p>The Sector 550 EPS is the sweet-spot Hisun utility for most Algoma property owners. 550cc power with electric power steering that makes all-day work days dramatically easier on the driver — plowing, loading, maneuvering, trail work. For customers who use the UTV for actual labour, EPS is worth every dollar.</p>\n<p>Five factory colours available (Avocado Green, Camo, Destroyer Grey, HISUN Red, Tactical Tan). Rack capacity and towing sized for real property work. Accepts winches, plow blades, and accessory upgrades we install at the shop.</p>\n<p>This is the UTV Casey recommends to most people buying their first utility side-by-side. Reliable, priced right, and serviced under the same roof as your boats and lawn equipment.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_sector550red-102158.png,,,,,,,,,0,Hisun,HS-SEC550EPS-26,2026,new,on_order,"Engine|546cc Single-Cylinder
Seating|2
Power Steering|Electric (EPS)
Drive|2WD/4WD Select with Differential Lock
Colours|Avocado Green, Camo, Destroyer Grey, HISUN Red, Tactical Tan
Warranty|Hisun Manufacturer",1,"Sector 550 EPS covers 80% of people's utility use cases. Power steering makes the difference on real work days — it's not a luxury item, it's a productivity item. Most-recommended utility UTV we sell."
217,simple,HS-SEC750CREW-26,,"Hisun Sector 750 Crew — 4-Seat Utility UTV",1,0,visible,"Four-seat utility workhorse. Three factory colours, full utility capability.","<p>The Sector 750 Crew brings four-seat capacity to the Sector utility line without compromising on capability. 750cc power, full utility spec, extended body to seat four adults plus gear. For hunting camps, family properties, and work crews who need to move people and tools together.</p>\n<p>Three factory colours (Viper Woodland camo, Destroyer Grey, Fresh Avocado). Lee lifestyle series shows the Crew in real hunting-camp conditions. Towing and rack capacity rated for serious utility work — not a de-rated family truck.</p>\n<p>Reyco handles financing, delivery, install of accessories (winch, plow), and full service. Most-requested upgrade package: winch plus front plow, bundled into one financing payment.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_sector750crewred-104342.png,,,,,,,,,0,Hisun,HS-SEC750CREW-26,2026,new,on_order,"Engine|735cc Single-Cylinder
Seating|4
Drive|2WD/4WD Select with Differential Lock
Colours|Viper Woodland, Destroyer Grey, Fresh Avocado
Warranty|Hisun Manufacturer",1,"Sector 750 Crew is what you graduate into when the family starts coming along or the hunting party grows. Real 4-seat capacity plus full utility capability. Honest machine."
218,simple,HS-STRY750X-26,,"Hisun Stryker 750X — Sport-Trail UTV",1,0,visible,"Two-seat flagship sport-trail UTV. 750cc, overland-capable suspension.","<p>The Stryker 750X is Hisun's sport-trail flagship. Built for riders who want more than a weekend trail cruiser — the Stryker is set up for aggressive terrain, overland touring, and technical riding where suspension travel and ground clearance earn their keep.</p>\n<p>Available in Camo and HISUN Red factory finishes. The 1V9A lifestyle series shows the machine in real overland conditions — rough terrain, aggressive trails, and technical sections. 750cc engine delivers flagship sport power without flagship pricing.</p>\n<p>Reyco stocks, services, and sells the Stryker line. <a href=""/financing/apply/"">Financing</a> through the same partners as our boats. Accessories including winches, roofs, and windshields installed at our shop.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_stryker-red-750x-front-angle-w-vents-102322.png,,,,,,,,,0,Hisun,HS-STRY750X-26,2026,new,on_order,"Engine|735cc Single-Cylinder
Seating|2
Drive|2WD/4WD Select
Suspension|Long-travel overland-capable
Colours|Camo, HISUN Red
Warranty|Hisun Manufacturer",1,"Stryker 750X handles overland and aggressive trail in a way most UTVs at this price can't. If Strike is trail, Stryker is trail-plus. Customers who ride hard end up here."
219,simple,HS-MP9550R-26,,"Hisun MP9 550R — Sport Trail UTV",1,0,visible,"Mid-displacement sport UTV. 550cc, four factory colours, real trail performance.","<p>The MP9 550R hits the sweet spot for most serious trail riders — 550cc sport engine, proper suspension setup, and a price that keeps customers on the trail instead of stuck deliberating on the showroom floor. Two-seat configuration with four factory colour choices (Camo, Gray, Red, Tan).</p>\n<p>MP9 is a pure sport-trail line. Not utility, not crew, not overland — just sport. Suspension geometry tuned for aggressive trail, power delivery matched for the 550cc platform. The model most MP9 buyers end up on when they want real performance without top-tier pricing.</p>\n<p>Full Reyco service and warranty support. Parts on the shelf for common wear items; anything else ordered in through our Hisun dealer account.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_mp9-400-front-angle-red-no-winch-web-105838.png,,,,,,,,,0,Hisun,HS-MP9550R-26,2026,new,on_order,"Engine|546cc Single-Cylinder
Seating|2
Drive|2WD/4WD Select
Colours|Camo, Gray, Red, Tan
Warranty|Hisun Manufacturer",1,"MP9 550R is where serious trail riders land when they want sport performance without paying flagship money. Enough power for aggressive trail, suspension to back it up."
220,simple,HS-HS500-26,,"Hisun HS 500 — Utility ATV",1,0,visible,"Mid-range utility ATV. Budget-friendly single-rider for hunters, trappers, and property owners.","<p>The Hisun HS 500 is the utility ATV for customers who want proven reliability without paying premium-brand pricing. Single-rider, mid-range utility spec, and the price point that matches how most Algoma buyers actually budget for equipment.</p>\n<p>Used by hunters packing camp gear, trappers running lines, small farm operators moving supplies, and property owners doing seasonal work. Proven Hisun manufacturing — the same engineering that builds OEM machines for other brand labels. Reliability that earns its price.</p>\n<p>Service and parts handled here. <a href=""/financing/apply/"">Financing available</a> — monthly payments that fit typical household budgets.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_d1c4ff056a6aaf027c14ec92c81dc2da6bd2b507.png,,,,,,,,,0,Hisun,HS-HS500-26,2026,new,on_order,"Engine|471cc Single-Cylinder
Seating|1
Drive|2WD/4WD Select
Front Rack|40 lbs
Rear Rack|80 lbs
Warranty|Hisun Manufacturer",1,"The HS 500 is the ATV I point budget-conscious customers at. Honest utility machine, reliable, and priced right. Does the work without trying to impress anyone."
221,simple,HS-FORGE400I-26,,"Hisun Forge 400i — Sport-Utility ATV",1,0,visible,"Sport-utility ATV flagship. 400cc, three factory colours.","<p>The Forge 400i is Hisun's sport-utility ATV — more performance than the HS line, still single-rider, configured for customers who want real capability in a single-rider machine. Three factory colours (Black Ops, Cavalry Blue, Viper Woodland Camo).</p>\n<p>For riders who need to cover ground solo, handle rougher terrain than the HS 500 would, or want fuel-injection smoothness (the 400i designation). Rack capacity, towing, and suspension all stepped up from entry ATV specs.</p>\n<p>Full Hisun warranty, serviced at Reyco, with parts stocking and accessory installation handled in-house.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/HS-FORGE400I-26.jpg,,,,,,,,,0,Hisun,HS-FORGE400I-26,2026,new,on_order,"Engine|393cc Single-Cylinder (Fuel Injected)
Seating|1
Drive|2WD/4WD Select
Colours|Black Ops, Cavalry Blue, Viper Woodland
Warranty|Hisun Manufacturer",1,"Forge 400i is the single-rider sport-utility for customers who want more than HS but don't need full UTV capability. Fuel injection is noticeable — smoother starts and throttle response than a carbureted equivalent."
222,simple,HS-SEC-E1-26,,"Hisun Sector E1 — Electric UTV",1,0,visible,"Full-size 2-seat electric UTV. Zero emissions, quiet operation, real utility capability.","<p>The Sector E1 brings proper utility UTV capability to the electric platform. Two-seat, real cargo space, and the performance expected from a Sector — with zero emissions and quiet enough operation to park next to the cabin without waking anyone.</p>\n<p>Three factory colours (Cavalry Blue, Destroyer Grey, HISUN Red). Charges from a standard wall outlet overnight. Ideal for cottage properties, hunting camps running on solar, golf course operations, and customers stepping away from two-stroke gas equipment for environmental or noise reasons.</p>\n<p>Warranty, parts, and service handled by Reyco. Battery and controller service available in-house. <a href=""/financing/apply/"">Financing</a> treats electric the same as gas models.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_e1-green-152808.png,,,,,,,,,0,Hisun,HS-SEC-E1-26,2026,new,on_order,"Motor|Electric AC
Battery|48V Lithium
Seating|2
Charge Time|8-10 hrs (120V outlet)
Colours|Cavalry Blue, Destroyer Grey, HISUN Red
Warranty|Hisun Manufacturer",1,"Sector E1 surprised me when I rode one. Real utility capability, not a de-rated golf cart. For the right customer — cottage owner, hunt camp, property that needs quiet — it's absolutely the right call."
223,simple,HS-ACENV-26,,"Hisun ACE NV — Electric Golf Cart",1,0,visible,"4-seat electric golf cart. EV Black or Coastal Blue factory finish.","<p>The Hisun ACE NV is a proper 4-seat electric golf cart for golf course ops, large property movement, senior-living facilities, and private communities. Street-legal-speed classification (LSV) in most Ontario applications — confirm with your municipality.</p>\n<p>Available in EV Black and EV Coastal Blue factory finishes. Charges on standard outlets. Low operating cost, low maintenance compared to gas golf carts, zero emissions.</p>\n<p>Reyco services electric drivetrains in-house, carries battery and controller parts, and offers <a href=""/financing/apply/"">financing</a> on the cart + accessories (cargo boxes, weather enclosures, canopies).</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_aceblue-112942.png,,,,,,,,,0,Hisun,HS-ACENV-26,2026,new,on_order,"Motor|Electric AC
Battery|48V
Seating|4
Classification|LSV (province dependent)
Colours|EV Black, EV Coastal Blue
Warranty|Hisun Manufacturer",1,"ACE NV is the cleanest 4-seat electric golf cart on the Canadian market right now. For golf courses, retirement communities, large property owners — it fits the role perfectly."
224,simple,EC-CS590-26,,"Echo CS-590 Timber Wolf Chainsaw",1,0,visible,"The firewood cutter's chainsaw. 59.8cc pro-grade, 20"" bar, legendary reliability.","<p>The CS-590 Timber Wolf is the chainsaw that cuts most of the firewood in Northern Ontario. It earned that reputation — 59.8cc of pro-grade engine, a 20"" bar that handles full-size hardwood, and the durability that comes from Echo's professional-duty engineering. Ask any firewood cutter from the Sault to Wawa what saw they run; the answer is almost always this one.</p>\n<p>Anti-vibration handle reduces fatigue on long cutting days. Automatic oiler keeps the chain lubricated. Decompression valve makes starting easier — especially on cold mornings when you need to get to work. The kind of details Echo engineers get right.</p>\n<p>We stock CS-590 chains, bars, filters, and wear parts on the shelf. When your Timber Wolf needs service, we handle it here at the shop. Most-sold chainsaw at Reyco.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS590-26.jpg,,,,,,,,,0,Echo,EC-CS590-26,2026,new,on_order,"Engine|59.8cc 2-Stroke
Bar Length|20""
Weight|13.2 lbs (powerhead)
Anti-Vibration|Yes
Warranty|5-Year Consumer / 2-Year Commercial",1,"CS-590 Timber Wolf has probably cut more firewood across Algoma than every other saw combined. When pro customers ask what they should run, this is the first answer. Reliable, powerful, and the parts are everywhere."
225,simple,EC-CS310-26,,"Echo CS-310 Chainsaw",1,0,visible,"Homeowner entry chainsaw. 30.5cc, 14"" bar, reliable light-duty saw.","<p>The Echo CS-310 is the homeowner chainsaw we point budget-conscious customers at. 30.5cc engine and 14"" bar handle light firewood, storm cleanup, and occasional brush work. Not meant for production firewood cutting, but solid for the weekend property owner doing 2-3 cords a year.</p>\n<p>Lightweight, easy-start carb, automatic oiler. Proven Echo reliability at entry pricing. Casey would recommend this over cheaper off-brand saws every time.</p>\n<p>Full parts availability and in-house service. Chains, bars, air filters all stocked.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS310-26.jpg,,,,,,,,,0,Echo,EC-CS310-26,2026,new,on_order,"Engine|30.5cc 2-Stroke
Bar Length|14""
Weight|8.8 lbs (powerhead)
Warranty|5-Year Consumer",1,"CS-310 is the right saw for someone cutting 2-3 cords a year or doing occasional storm cleanup. Not a firewood production saw, but reliable for the homeowner use case at an honest price."
226,simple,EC-CS352-26,,"Echo CS-352 Chainsaw",1,0,visible,"Mid-homeowner chainsaw. 34.4cc, 16"" bar, good all-around value.","<p>The CS-352 steps up from the CS-310 — 34.4cc engine and a 16"" bar for slightly heavier work. Right saw for the property owner doing 4-6 cords of firewood a year, clearing storm damage, or maintaining trails. The best value in Echo's mid-homeowner lineup.</p>\n<p>Easy-start carb, automatic chain oiler, anti-vibration handle. Holds up under regular seasonal use.</p>\n<p>Reyco stocks parts and handles service in-house. Common upgrade from customers who started with the CS-310 and found they needed more saw.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS352-26.jpg,,,,,,,,,0,Echo,EC-CS352-26,2026,new,on_order,"Engine|34.4cc 2-Stroke
Bar Length|16""
Weight|9.5 lbs (powerhead)
Warranty|5-Year Consumer",1,"CS-352 is the Goldilocks homeowner saw — not too big, not too small. For 4-6 cords a year plus storm work, it's the right fit."
227,simple,EC-CS680-26,,"Echo CS-680 Chainsaw",1,0,visible,"Heavy pro chainsaw. 66.8cc, 24"" bar, production-grade.","<p>The CS-680 is pro-grade territory. 66.8cc and a 24"" bar for heavy firewood production, larger timber work, and professional landscape/tree crews. If you're cutting more than 10 cords a year or running the saw for commercial work, this is where Echo's pro engineering pays off.</p>\n<p>Anti-vibration, automatic oiler, decompression valve, magnesium crankcase. Built for long cutting days and hard work.</p>\n<p>In-house service for warranty and non-warranty work. Pro parts (chains, bars, sprockets, clutches) stocked for the CS-680 specifically.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS680-26.jpg,,,,,,,,,0,Echo,EC-CS680-26,2026,new,on_order,"Engine|66.8cc 2-Stroke
Bar Length|24""
Weight|14.1 lbs (powerhead)
Warranty|5-Year Consumer / 2-Year Commercial",1,"CS-680 is where you go when the CS-590 isn't enough. Production firewood, large timber, commercial work. The magnesium crankcase and pro duty cycle make it hold up where lesser saws wear out."
228,simple,EC-PB580T-26,,"Echo PB-580T Backpack Blower",1,0,visible,"Mid-tier backpack blower. Comfortable, powerful, the homeowner workhorse.","<p>The PB-580T is the most-sold backpack blower Reyco stocks. Mid-displacement engine with comfortable harness, proper airflow numbers for real fall leaf work, and the reliability that makes Echo the go-to power equipment brand for serious homeowners.</p>\n<p>If you have a property big enough that a handheld blower isn't cutting it, the PB-580T is where you move up. Covers 1-3 acre yards comfortably and handles wet leaves without stalling.</p>\n<p>Reyco stocks PB-580 filters, spark plugs, and common wear parts. Service in-house.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-PB580T-26.jpg,,,,,,,,,0,Echo,EC-PB580T-26,2026,new,on_order,"Engine|58.2cc 2-Stroke
Air Volume|510 CFM
Air Speed|215 MPH
Weight|22.6 lbs
Warranty|5-Year Consumer",1,"PB-580T is our go-to recommendation for 1-3 acre properties. Right balance of power and comfort for a full day of fall cleanup without beating yourself up."
229,simple,EC-PB9010T-26,,"Echo PB-9010T X Series Backpack Blower",1,0,visible,"Flagship X Series backpack blower. One of the highest-airflow blowers on the market.","<p>The PB-9010T is Echo's X Series flagship — one of the most powerful backpack blowers on the market. 79.9cc engine delivering 1110 CFM at 220 MPH. For pro landscape crews running fall cleanup on commercial accounts, large estates, or municipal properties where you're moving serious leaf volume.</p>\n<p>Built for all-day commercial use. The X Series engines are Echo's highest-duty-cycle platforms — designed to run 8-hour work days on repeat.</p>\n<p>Pro parts availability at Reyco. Service handled in-house by technicians familiar with X Series engines.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-PB9010T-26.jpg,,,,,,,,,0,Echo,EC-PB9010T-26,2026,new,on_order,"Engine|79.9cc 2-Stroke X Series
Air Volume|1110 CFM
Air Speed|220 MPH
Weight|26.3 lbs
Warranty|5-Year Consumer / 2-Year Commercial",1,"PB-9010T is for pro crews and large-property owners who want industry-leading airflow. Built for commercial duty — holds up where homeowner-grade blowers would burn out."
230,simple,EC-PB755ST-26,,"Echo PB-755ST Backpack Blower",1,0,visible,"Pro straight-tube backpack blower. Commercial-grade workhorse.","<p>The PB-755ST is Echo's pro backpack — straight-tube design, 63.3cc engine, and the duty cycle expected from a commercial blower. Sits between the PB-580 homeowner-grade and the PB-9010 X Series flagship.</p>\n<p>Most commonly specced by landscape professionals running regular commercial accounts, cemetery maintenance crews, and larger estate caretakers.</p>\n<p>Parts and service through Reyco.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-PB755ST-26.jpg,,,,,,,,,0,Echo,EC-PB755ST-26,2026,new,on_order,"Engine|63.3cc 2-Stroke
Air Volume|651 CFM
Air Speed|214 MPH
Weight|24.9 lbs
Warranty|5-Year Consumer / 2-Year Commercial",1,"PB-755ST is the commercial-duty workhorse. If you're running a lawn crew and need something that holds up through serious daily use, this is the middle ground."
231,simple,EC-SRM225-26,,"Echo SRM-225 String Trimmer",1,0,visible,"Homeowner straight-shaft trimmer. The reliable Echo starter trimmer.","<p>The SRM-225 is the homeowner trimmer Echo built its reputation on. 21.2cc straight-shaft design with the reliability, easy starting, and parts availability that make it the default recommendation for property owners who want a legitimate trimmer without pro pricing.</p>\n<p>Straight shaft puts the head further from the operator's feet — safer working in rough terrain. Speed-Feed head for quick line changes without taking the trimmer apart.</p>\n<p>Reyco stocks SRM-225 line, spark plugs, and air filters.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-SRM225-26.jpg,,,,,,,,,0,Echo,EC-SRM225-26,2026,new,on_order,"Engine|21.2cc 2-Stroke
Shaft|Straight
Cutting Width|17""
Weight|10.6 lbs
Warranty|5-Year Consumer",1,"SRM-225 is the default trimmer recommendation for homeowners. It starts, it runs, it lasts. Nothing fancy, and that's the point."
232,simple,EC-HC2020-26,,"Echo HC-2020 Hedge Trimmer",1,0,visible,"Double-sided hedge trimmer. Homeowner-to-light-commercial range.","<p>The HC-2020 is Echo's homeowner-to-light-commercial hedge trimmer. Double-sided 20"" blade, 21.2cc engine, and the comfort-focused handle design that matters on longer hedge jobs.</p>\n<p>Right for property owners with dedicated hedge rows, light commercial property maintenance, and customers who need a dedicated hedge trimmer instead of an attachment on a PAS powerhead.</p>\n<p>Reyco services Echo hedge trimmers and stocks blade sets as replacement parts.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-HC2020-26.jpg,,,,,,,,,0,Echo,EC-HC2020-26,2026,new,on_order,"Engine|21.2cc 2-Stroke
Blade Length|20""
Blade Type|Double-Sided
Weight|11.0 lbs
Warranty|5-Year Consumer",1,"HC-2020 is the dedicated hedge trimmer for homeowners who do enough hedge work that an attachment isn't efficient. Nicely balanced double-sided blade."
233,simple,EC-DCS5000-26,,"Echo DCS-5000 — 56V Cordless Chainsaw",1,0,visible,"Battery-powered chainsaw. Pro-grade 56V performance, quiet operation.","<p>The DCS-5000 is Echo's flagship 56V cordless chainsaw. Pro-grade performance in a quiet electric platform — for property owners moving away from two-stroke gas, cottage crowds where quiet operation matters, and customers managing multiple Echo 56V tools on a shared battery platform.</p>\n<p>18"" bar, brushless motor, runs on Echo's 56V battery system (batteries and chargers sold separately or as kits). Real cutting performance — not a de-rated homeowner tool. Cuts full-size firewood, handles storm cleanup, and matches the cutting speed of comparable gas saws.</p>\n<p>Reyco stocks Echo 56V batteries and chargers. Service and warranty repair in-house.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-DCS5000-26.jpg,,,,,,,,,0,Echo,EC-DCS5000-26,2026,new,on_order,"Platform|Echo 56V
Bar Length|18""
Motor|Brushless
Weight|12.0 lbs (with battery)
Warranty|5-Year Consumer",1,"DCS-5000 is where cordless chainsaws finally match gas performance. For cottage properties where two-stroke noise is an issue, or customers building out a 56V tool fleet, it's absolutely the right call."
234,simple,HS-GUARDIAN-26,,"Hisun GUARDIAN Utility ATV",1,0,visible,"Full-size utility ATV workhorse for hunters, trappers, and property owners.","<p>The Hisun GUARDIAN is the utility ATV workhorse. Full-sized, single-rider, built for hauling gear to camp, running traplines, and handling rural property work. Lifestyle photography from the Demo Day shoots shows the machine in real-world conditions.</p><p>Reyco services GUARDIANs in-house and stocks common wear parts. Financing available.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_gray-guardian-400-105238.png,,,,,,,,,0,Hisun,HS-GUARDIAN-26,2026,new,on_order,"Engine|Single-Cylinder (see spec sheet)
Seating|1
Drive|2WD/4WD Select
Use Case|Utility / Hunting / Trapline
Warranty|Hisun Manufacturer",1,"GUARDIAN is the ATV Casey points hunters and trappers at. Honest utility machine at a fair price."
235,simple,HS-TACTIC-26,,"Hisun Tactic Utility ATV",1,0,visible,"Mid-tier utility ATV. Reliable single-rider for property work and outdoor crews.","<p>The Tactic is Hisun's mid-utility ATV — priced and specced for customers who want more than entry-level but don't need flagship sport-utility. Solid single-rider capability for rural property owners.</p><p>Reyco handles sales, service, and Hisun warranty work in-house.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_tactic400blue-113644.png,,,,,,,,,0,Hisun,HS-TACTIC-26,2026,new,on_order,"Engine|Single-Cylinder (see spec sheet)
Seating|1
Drive|2WD/4WD Select
Use Case|Mid Utility
Warranty|Hisun Manufacturer",1,"Tactic slots between the HS 500 and the Forge 400i. Reliable mid-utility for customers who want step-up capability without paying sport-utility pricing."
