sku,product_title,brand,image_url,image_alt,source_site,status,notes,image_count,image_categories,shortfall_vs_target,reyco_product_url
HS-MP9750R-26,Hisun MP9 750R Sport UTV,Hisun,https://www.hisunmotors.com/images/uploads/20240809/800_mp9-400-front-angle-red-no-winch-web-105838.png,Hisun MP9 Sport UTV in Hisun Red,hisunmotors.com,ready,800px PNG — MP9 400 image used as placeholder; request 750R-specific from dealer portal | Dropbox: 4 images,4,"spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-mp9-750r-sport-utv/
HS-MP9T400-26,Hisun MP9T400 Entry Sport UTV,Hisun,https://www.hisunmotors.com/images/uploads/20240809/800_mp9-400-front-angle-red-no-winch-web-105838.png,Hisun MP9 T400 Entry Sport UTV in Hisun Red,hisunmotors.com,ready,800px PNG | Dropbox: 25 images,25,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-mp9t400-entry-sport-utv/
CC-CHALL750MX-26,Cub Cadet Challenger 750 MX (Hisun-Built UTV),Hisun,,,hisunmotors.com,flag-dealer-portal,Cub Cadet-badged Hisun — image likely requires Cub Cadet dealer portal or CC website | Dropbox: 10 images,10,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/cub-cadet-challenger-750-mx-hisun-built-utv/
MK-TER80-26,Minnkota Terrova 80,Minn Kota,https://johnsonoutdoors.widen.net/content/k3fqzoosr0/webp/MK_Terrova_QUEST_HeroAlt.webp,Minn Kota Terrova QUEST Trolling Motor,johnsonoutdoors.widen.net,ready,640px WebP,11,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minnkota-terrova-80/
MK-ULT80-45-26,Minn Kota Ultrex 80 lb — 45 Shaft,Minn Kota,https://johnsonoutdoors.widen.net/content/panck07gjo/webp/MK_Ultrex_QUEST_HeroAlt.webp,Minn Kota Ultrex QUEST Trolling Motor,johnsonoutdoors.widen.net,ready,640px WebP,12,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minn-kota-ultrex-80-lb-45-shaft/
MK-ULT80-52-26,Minn Kota Ultrex 80 lb — 52 Shaft,Minn Kota,https://johnsonoutdoors.widen.net/content/panck07gjo/webp/MK_Ultrex_QUEST_HeroAlt.webp,Minn Kota Ultrex QUEST Trolling Motor,johnsonoutdoors.widen.net,ready,640px WebP — same model image; shaft length is a product variant,12,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minn-kota-ultrex-80-lb-52-shaft/
MK-ULTQUEST9115-45-26,Minn Kota Ultrex QUEST 90/115 lb,Minn Kota,https://johnsonoutdoors.widen.net/content/panck07gjo/webp/MK_Ultrex_QUEST_HeroAlt.webp,Minn Kota Ultrex QUEST Trolling Motor,johnsonoutdoors.widen.net,ready,640px WebP,12,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minn-kota-ultrex-quest-90-115-lb/
MK-RTQUEST9115-72-26,Minn Kota Riptide Terrova QUEST 90/115 — 72,Minn Kota,https://johnsonoutdoors.widen.net/content/esb89bkugo/webp/MK_RiptideTerrova_QUEST_HeroAlt.webp,Minn Kota Riptide Terrova QUEST Trolling Motor,johnsonoutdoors.widen.net,ready,640px WebP,11,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minn-kota-riptide-terrova-quest-90-115-72/
MK-RTQUEST9115-87-26,Minn Kota Riptide Terrova QUEST 90/115 — 87,Minn Kota,https://johnsonoutdoors.widen.net/content/esb89bkugo/webp/MK_RiptideTerrova_QUEST_HeroAlt.webp,Minn Kota Riptide Terrova QUEST Trolling Motor,johnsonoutdoors.widen.net,ready,640px WebP,11,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minn-kota-riptide-terrova-quest-90-115-87/
MK-RTQUEST9115-100-26,Minn Kota Riptide Terrova QUEST 90/115 — 100,Minn Kota,https://johnsonoutdoors.widen.net/content/esb89bkugo/webp/MK_RiptideTerrova_QUEST_HeroAlt.webp,Minn Kota Riptide Terrova QUEST Trolling Motor,johnsonoutdoors.widen.net,ready,640px WebP,11,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minn-kota-riptide-terrova-quest-90-115-100/
MK-RT112-87-26,Minn Kota Riptide Terrova 112 lb — 87 Shaft,Minn Kota,https://johnsonoutdoors.widen.net/content/esb89bkugo/webp/MK_RiptideTerrova_QUEST_HeroAlt.webp,Minn Kota Riptide Terrova Trolling Motor,johnsonoutdoors.widen.net,ready,640px WebP,11,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minn-kota-riptide-terrova-112-lb-87-shaft/
MK-RT80-60-REFURB,Minn Kota Riptide Terrova 80 lb Refurb — 60,Minn Kota,https://johnsonoutdoors.widen.net/content/esb89bkugo/webp/MK_RiptideTerrova_QUEST_HeroAlt.webp,Minn Kota Riptide Terrova Trolling Motor,johnsonoutdoors.widen.net,ready,640px WebP — using current model image for refurb unit,11,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minn-kota-riptide-terrova-80-lb-refurb-60/
MK-KTRV55-FW-26,Minn Kota Kayak Terrova 55 lb — Freshwater,Minn Kota,https://johnsonoutdoors.widen.net/content/3godaclbqr/webp/MK_KayakTerrova_HeroAlt.webp,Minn Kota Kayak Terrova Freshwater Trolling Motor,johnsonoutdoors.widen.net,ready,WebP,14,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minn-kota-kayak-terrova-55-lb-freshwater/
MK-RTKAYAK55-26,Minn Kota Riptide Kayak Terrova 55 lb — Saltwater,Minn Kota,https://johnsonoutdoors.widen.net/content/3godaclbqr/webp/MK_KayakTerrova_HeroAlt.webp,Minn Kota Kayak Terrova Saltwater Trolling Motor,johnsonoutdoors.widen.net,ready,WebP — same base image; saltwater label in alt text,14,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/minn-kota-riptide-kayak-terrova-55-lb-saltwater/
MK-MK230PCL-26,Minn Kota Precision Charger MK 230 PCL,Minn Kota,,,minnkota.johnsonoutdoors.com,flag-dealer-portal,Battery charger — no prominent public product page found; request via Johnson Outdoors dealer portal,0,,4,https://reyco.glvmarketing.ca/product/minn-kota-precision-charger-mk-230-pcl/
MK-MK330PC-26,Minn Kota Precision Charger MK 330 PC,Minn Kota,https://johnsonoutdoors.widen.net/content/jtqt11mfb4/webp/MK_1833300_MK-330PC_3q2.webp,,johnsonoutdoors.widen.net,ready,Widen CDN: 2 images found across 1 categories.,2,studio,2,https://reyco.glvmarketing.ca/product/minn-kota-precision-charger-mk-330-pc/
MK-MK345PCL-26,Minn Kota Precision Charger MK 345 PCL,Minn Kota,,,minnkota.johnsonoutdoors.com,flag-dealer-portal,Battery charger — no prominent public product page found,0,,4,https://reyco.glvmarketing.ca/product/minn-kota-precision-charger-mk-345-pcl/
MK-MK460PCL-26,Minn Kota Precision Charger MK 460 PCL,Minn Kota,https://johnsonoutdoors.widen.net/content/pv0vsj8xdx/webp/MK_1834604_MK-460PCL_3q.webp,,johnsonoutdoors.widen.net,ready,Widen CDN: 1 images found across 1 categories.,1,studio,3,https://reyco.glvmarketing.ca/product/minn-kota-precision-charger-mk-460-pcl/
MK-MKR30-26,Minn Kota Remote Power Switch MKR-30,Minn Kota,,,minnkota.johnsonoutdoors.com,flag-dealer-portal,Accessory item — no product page found,0,,4,https://reyco.glvmarketing.ca/product/minn-kota-remote-power-switch-mkr-30/
MK-EC15-BULK-26,Minn Kota Battery Charger Extension Cable MK-EC-15,Minn Kota,,,minnkota.johnsonoutdoors.com,flag-dealer-portal,Accessory/cable — no product page,0,,4,https://reyco.glvmarketing.ca/product/minn-kota-battery-charger-extension-cable-mk-ec-15/
HB-HLX7CH-26,Humminbird HELIX 7 CHIRP,Humminbird,https://johnsonoutdoors.widen.net/content/key3ri2qru/webp/HB_411630-1_HELIX_7_CHIRP_GPS_G4N_alt1.webp,Humminbird HELIX 7 CHIRP GPS G4N Fish Finder,johnsonoutdoors.widen.net,ready,640px WebP,7,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/humminbird-helix-7-chirp/
HB-APEX13-26,Humminbird APEX 13 MEGA SI+ Chartplotter,Humminbird,https://johnsonoutdoors.widen.net/content/uhblzlafdp/webp/HB_411470-1VX_APEX_VX_13_alt1.webp,Humminbird APEX 13 MEGA SI+ Chartplotter,johnsonoutdoors.widen.net,ready,640px WebP,7,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/humminbird-apex-13-mega-si-chartplotter/
HB-APEX13-CHO-26,Humminbird APEX 13 MEGA SI+ Chartplotter (CHO),Humminbird,https://johnsonoutdoors.widen.net/content/uhblzlafdp/webp/HB_411470-1VX_APEX_VX_13_alt1.webp,Humminbird APEX 13 MEGA SI+ Chartplotter,johnsonoutdoors.widen.net,ready,640px WebP — same image as full unit; CHO is display-only,7,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/humminbird-apex-13-mega-si-chartplotter-cho/
HB-APEX16-26,Humminbird APEX 16 MEGA SI+ Chartplotter,Humminbird,https://johnsonoutdoors.widen.net/content/6col5o03mj/webp/HB_411500-1VX_APEXVX_16_alt1.webp,Humminbird APEX MEGA SI+ Chartplotter,johnsonoutdoors.widen.net,ready,"640px WebP — APEX series image; 16"" variant same design",1,hero,3,https://reyco.glvmarketing.ca/product/humminbird-apex-16-mega-si-chartplotter/
HB-APEX16-CHO-26,Humminbird APEX 16 MEGA SI+ Chartplotter (CHO),Humminbird,https://johnsonoutdoors.widen.net/content/6col5o03mj/webp/HB_411500-1VX_APEXVX_16_alt1.webp,Humminbird APEX MEGA SI+ Chartplotter,johnsonoutdoors.widen.net,ready,640px WebP,1,hero,3,https://reyco.glvmarketing.ca/product/humminbird-apex-16-mega-si-chartplotter-cho/
HB-APEX19-26,Humminbird APEX 19 MEGA SI+ Chartplotter,Humminbird,https://johnsonoutdoors.widen.net/content/uhblzlafdp/webp/HB_411470-1VX_APEX_VX_13_alt1.webp,Humminbird APEX MEGA SI+ Chartplotter,johnsonoutdoors.widen.net,ready,"640px WebP — confirm 19"" specific image with Johnson Outdoors dealer portal",7,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/humminbird-apex-19-mega-si-chartplotter/
HB-APEX19-CHO-26,Humminbird APEX 19 MEGA SI+ Chartplotter (CHO),Humminbird,https://johnsonoutdoors.widen.net/content/uhblzlafdp/webp/HB_411470-1VX_APEX_VX_13_alt1.webp,Humminbird APEX MEGA SI+ Chartplotter,johnsonoutdoors.widen.net,ready,640px WebP,7,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/humminbird-apex-19-mega-si-chartplotter-cho/
HB-MEGALIVE2-FWD-26,Humminbird MEGA Live 2 Forward-Facing Sonar,Humminbird,,,humminbird.johnsonoutdoors.com,flag-dealer-portal,MEGA Live 2 product page not resolved in this session — request via Johnson Outdoors dealer portal,0,,4,https://reyco.glvmarketing.ca/product/humminbird-mega-live-2-forward-facing-sonar/
HB-MEGALIVE2-TM-26,Humminbird MEGA Live 2 Transom-Mount Sonar,Humminbird,,,humminbird.johnsonoutdoors.com,flag-dealer-portal,MEGA Live 2 transom — same as above,0,,4,https://reyco.glvmarketing.ca/product/humminbird-mega-live-2-transom-mount-sonar/
HB-ICELIVE2-PM-26,Humminbird ICE MEGA Live 2 Compact Pole-Mount,Humminbird,,,humminbird.johnsonoutdoors.com,flag-dealer-portal,ICE product — may require dealer portal for image,0,,4,https://reyco.glvmarketing.ca/product/humminbird-ice-mega-live-2-compact-pole-mount/
HB-ICELIVE2-PWR-26,Humminbird ICE MEGA Live 2 Power Cable,Humminbird,,,humminbird.johnsonoutdoors.com,skip,Cable/accessory — no product photo needed,0,n/a,0,https://reyco.glvmarketing.ca/product/humminbird-ice-mega-live-2-power-cable/
HB-ICELIVE2-SAE-26,Humminbird ICE MEGA Live 2 SAE Power Cable,Humminbird,,,humminbird.johnsonoutdoors.com,skip,Cable/accessory — no product photo needed,0,n/a,0,https://reyco.glvmarketing.ca/product/humminbird-ice-mega-live-2-sae-power-cable/
HB-XPLORE-PWR-26,Humminbird ICE XPLORE Power Cable,Humminbird,,,humminbird.johnsonoutdoors.com,skip,Cable/accessory — no product photo needed,0,n/a,0,https://reyco.glvmarketing.ca/product/humminbird-ice-xplore-power-cable/
HB-XPLORE-KIT-26,Humminbird ICE XPLORE Shuttle Conversion Kit,Humminbird,,,humminbird.johnsonoutdoors.com,flag-dealer-portal,Conversion kit — no public product page found,0,,4,https://reyco.glvmarketing.ca/product/humminbird-ice-xplore-shuttle-conversion-kit/
CAN-OPTIMUMTS-26,Cannon Optimum TS Downrigger,Cannon,https://johnsonoutdoors.widen.net/content/pnrq0dnwkl/webp/CN_1902340_OptimumTS_3qRight.webp,Cannon Optimum TS Electric Downrigger,johnsonoutdoors.widen.net,ready,WebP — category hero; confirm Optimum TS-specific image via dealer portal,14,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/cannon-optimum-ts-downrigger/
CAN-OPTIMUM-26,Cannon Optimum Downrigger,Cannon,https://johnsonoutdoors.widen.net/content/vlgdugzspy/webp/CN_1902335_Optimum_3qRight.webp,Cannon Optimum Electric Downrigger,johnsonoutdoors.widen.net,ready,WebP — shared category image,15,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/cannon-optimum-downrigger/
CAN-MAG10TS-26,Cannon Magnum 10 TS,Cannon,https://johnsonoutdoors.widen.net/content/67saz6qhcp/webp/CN_1902310_Magnum10TS_3qRight.webp,Cannon Magnum 10 TS Electric Downrigger,johnsonoutdoors.widen.net,ready,640px WebP,14,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/cannon-magnum-10-ts/
CAN-MAG10-26,Cannon Magnum 10,Cannon,https://johnsonoutdoors.widen.net/content/ho3pkhwzkb/webp/CN_1902305_Magnum10_3qRightNew.webp,Cannon Magnum 10 Electric Downrigger,johnsonoutdoors.widen.net,ready,WebP — using Magnum 10 TS image; request Magnum 10-specific via dealer portal if needed,10,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/cannon-magnum-10/
CAN-MAG5-26,Cannon Magnum 5,Cannon,https://johnsonoutdoors.widen.net/content/psc6hoxphf/webp/CN_1902300_Magnum5_3qRight.webp,,johnsonoutdoors.widen.net,ready,Widen CDN: 7 images found across 3 categories.,7,"detail,hero,studio",0,https://reyco.glvmarketing.ca/product/cannon-magnum-5/
CAN-UNI10TS-26,Cannon Uni-Troll 10 TS,Cannon,https://johnsonoutdoors.widen.net/content/qcg7sskxwv/webp/CN_1901140_Uni-Troll10TS_Hero.webp,,johnsonoutdoors.widen.net,ready,Widen CDN: 10 images found across 3 categories.,10,"detail,hero,studio",0,https://reyco.glvmarketing.ca/product/cannon-uni-troll-10-ts/
CAN-UNI10-26,Cannon Uni-Troll 10,Cannon,https://johnsonoutdoors.widen.net/content/ydwctz1ffp/webp/CN_1901130_UNI-TROLL-10_Hero.webp,,johnsonoutdoors.widen.net,ready,Widen CDN: 14 images found across 4 categories.,14,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/cannon-uni-troll-10/
CAN-UNI5-26,Cannon Uni-Troll 5,Cannon,https://johnsonoutdoors.widen.net/content/pxlpcqwlh3/webp/CN_1901120_Uni-Troll5_Hero.webp,,johnsonoutdoors.widen.net,ready,Widen CDN: 15 images found across 4 categories.,15,"detail,hero,lifestyle,studio",0,https://reyco.glvmarketing.ca/product/cannon-uni-troll-5/
CAN-EASITROLL-26,Cannon Easi-Troll,Cannon,https://johnsonoutdoors.widen.net/content/5hf2dw8lim/webp/CN_1901020_Easi-Troll_Hero.webp,,johnsonoutdoors.widen.net,ready,Widen CDN: 11 images found across 3 categories.,11,"detail,hero,studio",0,https://reyco.glvmarketing.ca/product/cannon-easi-troll/
CAN-LAKETROLL-26,Cannon Lake-Troll,Cannon,https://johnsonoutdoors.widen.net/content/njcjs7y0qe/webp/CN_1901250_Lake-Troll_Hero.webp,,johnsonoutdoors.widen.net,ready,Widen CDN: 12 images found across 3 categories.,12,"detail,hero,studio",0,https://reyco.glvmarketing.ca/product/cannon-lake-troll/
CAN-MINITROLL-26,Cannon Mini-Troll,Cannon,https://johnsonoutdoors.widen.net/content/mhw2zagduo/webp/CN_1901200_Mini-Troll_Hero.webp,,johnsonoutdoors.widen.net,ready,Widen CDN: 9 images found across 3 categories.,9,"detail,hero,studio",0,https://reyco.glvmarketing.ca/product/cannon-mini-troll/
CAN-WT-4LB-26,Cannon Downrigger Weight — 4 lb Cannon Ball,Cannon,,,cannon.johnsonoutdoors.com,skip,Weight accessory — no meaningful product photo,0,n/a,0,https://reyco.glvmarketing.ca/product/cannon-downrigger-weight-4-lb-cannon-ball/
CAN-WT-6LB-26,Cannon Downrigger Weight — 6 lb Cannon Ball,Cannon,,,cannon.johnsonoutdoors.com,skip,Weight accessory — no meaningful product photo,0,n/a,0,https://reyco.glvmarketing.ca/product/cannon-downrigger-weight-6-lb-cannon-ball/
CAN-WT-8LB-26,Cannon Downrigger Weight — 8 lb Cannon Ball,Cannon,,,cannon.johnsonoutdoors.com,skip,Weight accessory — no meaningful product photo,0,n/a,0,https://reyco.glvmarketing.ca/product/cannon-downrigger-weight-8-lb-cannon-ball/
CAN-WT-10LB-26,Cannon Downrigger Weight — 10 lb Cannon Ball,Cannon,,,cannon.johnsonoutdoors.com,skip,Weight accessory — no meaningful product photo,0,n/a,0,https://reyco.glvmarketing.ca/product/cannon-downrigger-weight-10-lb-cannon-ball/
CAN-UNISTACKER-26,Cannon Uni-Stacker Release,Cannon,,,cannon.johnsonoutdoors.com,skip,Small accessory — no meaningful product photo,0,n/a,0,https://reyco.glvmarketing.ca/product/cannon-uni-stacker-release/
EC-CS590-26,Echo CS-590 Timber Wolf Chainsaw,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-590,,echo-usa.com,ready,Dropbox: 17 images. Meets 4-image target.,17,"action,studio",0,https://reyco.glvmarketing.ca/product/echo-cs-590-timber-wolf-chainsaw/
EC-CS310-26,Echo CS-310 Chainsaw,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-310,,echo-usa.com,ready,Dropbox: 3 images found. Need 1 more to reach target.,3,studio,1,https://reyco.glvmarketing.ca/product/echo-cs-310-chainsaw/
EC-CS352-26,Echo CS-352 Chainsaw,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-352,,echo-usa.com,ready,Dropbox: 3 images found. Need 1 more to reach target.,3,studio,1,https://reyco.glvmarketing.ca/product/echo-cs-352-chainsaw/
EC-CS680-26,Echo CS-680 Chainsaw,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-680,,echo-usa.com,ready,Dropbox: 4 images. Meets 4-image target.,4,action,0,https://reyco.glvmarketing.ca/product/echo-cs-680-chainsaw/
EC-PB580T-26,Echo PB-580T Backpack Blower,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/Blowers - Souffleurs/PB-580,,echo-usa.com,ready,Dropbox: 2 images found. Need 2 more to reach target.,2,"action,studio",2,https://reyco.glvmarketing.ca/product/echo-pb-580t-backpack-blower/
EC-PB9010T-26,Echo PB-9010T X Series Backpack Blower,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/Blowers - Souffleurs/PB-9010,,echo-usa.com,ready,Dropbox: 22 images. Meets 4-image target.,22,"action,studio",0,https://reyco.glvmarketing.ca/product/echo-pb-9010t-x-series-backpack-blower/
EC-PB755ST-26,Echo PB-755ST Backpack Blower,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/Blowers - Souffleurs/PB-755ST,,echo-usa.com,ready,Dropbox: 1 images found. Need 3 more to reach target.,1,studio,3,https://reyco.glvmarketing.ca/product/echo-pb-755st-backpack-blower/
EC-SRM225-26,Echo SRM-225 String Trimmer,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/Trimmers - Coupe-herbes/SRM-225,,echo-usa.com,ready,Dropbox: 14 images. Meets 4-image target.,14,"action,studio",0,https://reyco.glvmarketing.ca/product/echo-srm-225-string-trimmer/
EC-HC2020-26,Echo HC-2020 Hedge Trimmer,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/Hedge Trimmers - Taille-haies/HC-2020,,echo-usa.com,ready,Dropbox: 10 images. Meets 4-image target.,10,"action,studio",0,https://reyco.glvmarketing.ca/product/echo-hc-2020-hedge-trimmer/
EC-DCS5000-26,Echo DCS-5000 — 56V Cordless Chainsaw,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/56V Cordless - Sans fil 56 V/DCS-5000/,,echo-usa.com,ready,Dropbox: 8 images found. Meets 4-image target.,8,"action,studio",0,https://reyco.glvmarketing.ca/product/echo-dcs-5000-56v-cordless-chainsaw/
EC-CS2511P-26,Echo CS-2511P Compact Pro Chainsaw,Echo,dropbox:/life-os/projects/reyco-marine/brand/echo/Chainsaws - Scies à chaîne/CS-2511P,,echo-usa.com,ready,Dropbox: 1 images found. Need 3 more to reach target.,1,studio,3,https://reyco.glvmarketing.ca/product/echo-cs-2511p-compact-pro-chainsaw/
