row_num,name,slug,decision
606,Low-Noise Blowers,low-noise-blowers,KEEP
607,LUX Floating,lux-floating,DELETE
608,Magnum,magnum,DELETE
609,Manual Downriggers,manual-downriggers,KEEP
610,Marine Electronics,marine-electronics,KEEP
611,Marine Electronics Accessories,marine-electronics-accessories,KEEP
612,Marine Railway Systems,marine-railway-systems,KEEP
613,MEGA Live 2,mega-live-2,DELETE
614,Mid Backpack Blowers,mid-backpack-blowers,KEEP
615,Mini-Troll,mini-troll,DELETE
616,MK 230 PCL,mk-230-pcl,DELETE
617,MK 330 PC,mk-330-pc,DELETE
618,MK 345 PCL,mk-345-pcl,DELETE
619,MK 460 PCL,mk-460-pcl,DELETE
620,Modular Docks,modular-docks,KEEP
621,MP9 550R,mp9-550r,DELETE
622,MP9 750R,mp9-750r,DELETE
623,MP9 Series,mp9-series,DELETE
624,MP9 T400,mp9-t400,DELETE
625,Multi-Tool Systems,multi-tool-systems,KEEP
626,Optimum,optimum,DELETE
627,Otter Swim Rafts,otter-swim-rafts,DELETE
628,Outboard Motors,outboard-motors,KEEP
629,PAS Powerheads,pas-powerheads,KEEP
630,Pontoons,pontoons,KEEP
631,Power Pruners,power-pruners,KEEP
632,Precision Chargers,precision-chargers,DELETE
633,Pressure Washers,pressure-washers,KEEP
634,Pro Backpack Blowers,pro-backpack-blowers,KEEP
635,Pro Chainsaws,pro-chainsaws,KEEP
636,Pro Pressure Washers,pro-pressure-washers,KEEP
637,Pro Trimmers,pro-trimmers,KEEP
638,Push Mowers,push-mowers,KEEP
639,PWC Lifts,pwc-lifts,KEEP
640,Riding Mowers,riding-mowers,KEEP
641,Riptide Kayak Terrova,riptide-kayak-terrova,KEEP
642,Riptide Terrova 112,riptide-terrova-112,DELETE
643,Riptide Terrova QUEST,riptide-terrova-quest,DELETE
644,Riptide Terrova QUEST 100,riptide-terrova-quest-100,DELETE
645,Riptide Terrova QUEST 72,riptide-terrova-quest-72,DELETE
646,Riptide Terrova QUEST 87,riptide-terrova-quest-87,DELETE
647,Riptide Terrova Refurbished,riptide-terrova-refurbished,DELETE
648,Sector 250,sector-250,DELETE
649,Sector 550 EPS,sector-550-eps,DELETE
650,Sector 750 Crew,sector-750-crew,DELETE
651,Sector 750 EPS,sector-750-eps,DELETE
652,Sector Series,sector-series,DELETE
653,Single-Stage Snowblowers,single-stage-snowblowers,KEEP
654,Snow Plows,snow-plows,KEEP
655,Sport UTVs,sport-utvs,KEEP
656,Standard Hedge Trimmers,standard-hedge-trimmers,KEEP
657,Straight Shaft Trimmers,straight-shaft-trimmers,KEEP
658,Strike 250R,strike-250r,DELETE
659,Strike 550R,strike-550r,DELETE
660,Strike Series,strike-series,DELETE
661,String Trimmers,string-trimmers,KEEP
662,Stryker 550,stryker-550,DELETE
663,Stryker 750,stryker-750,DELETE
664,Stryker 750 Crew,stryker-750-crew,DELETE
665,Stryker Series,stryker-series,DELETE
666,Tactic,tactic,DELETE
667,Three-Stage Snowblowers,three-stage-snowblowers,KEEP
668,Timber Wolf,timber-wolf,DELETE
669,Top-Handle Chainsaws,top-handle-chainsaws,KEEP
670,Trailers,trailers,KEEP
671,Trimmers,trimmers,KEEP
672,Trolling Motors,trolling-motors,KEEP
673,Truss Pipe Docks,truss-pipe-docks,KEEP
674,Two-Stage Snowblowers,two-stage-snowblowers,KEEP
675,U-Handle,u-handle,DELETE
676,Ultrex 80/45,ultrex-80-45,DELETE
677,Ultrex 80/52,ultrex-80-52,DELETE
678,Ultrex QUEST,ultrex-quest,DELETE
679,Uni-Troll,uni-troll,DELETE
680,Utility UTVs,utility-utvs,KEEP
681,UTVs,utvs,KEEP
682,Vertical Pontoon Lifts,vertical-pontoon-lifts,KEEP
683,Walk-Behind Edgers,walk-behind-edgers,KEEP
684,Wave Armor,wave-armor,DELETE
685,Wave Armour Ports,wave-armour-ports,DELETE
686,WaveX,wavex,DELETE
687,Wet-Slip Lifts,wet-slip-lifts,KEEP
688,X Series Blowers,x-series-blowers,DELETE
689,Youth UTVs,youth-utvs,KEEP
690,Zero-Turn Mowers,zero-turn-mowers,KEEP
