url,slug,title,pattern_type,inferred_taxonomy,url_base,seo_potential,notes
https://reyco.glvmarketing.ca/reyco-category/apex-13/,apex-13,APEX 13,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/apex-16/,apex-16,APEX 16,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/apex-19/,apex-19,APEX 19,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-2511p/,cs-2511p,CS-2511P,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-2511t/,cs-2511t,CS-2511T,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-271t/,cs-271t,CS-271T,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-310/,cs-310,CS-310,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-3510/,cs-3510,CS-3510,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-352/,cs-352,CS-352,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-355t/,cs-355t,CS-355T,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-361p/,cs-361p,CS-361P,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-370f/,cs-370f,CS-370F,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-4510/,cs-4510,CS-4510,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-490/,cs-490,CS-490,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-4910/,cs-4910,CS-4910,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-501p/,cs-501p,CS-501P,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-590/,cs-590,CS-590,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-620p/,cs-620p,CS-620P,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-680/,cs-680,CS-680,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/cs-7310p/,cs-7310p,CS-7310P,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/dcs-2500t/,dcs-2500t,DCS-2500T,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/dcs-5000/,dcs-5000,DCS-5000,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/dhc-2300/,dhc-2300,DHC-2300,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/dlm-2100/,dlm-2100,DLM-2100,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/dpb-2500/,dpb-2500,DPB-2500,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/dsrm-2100/,dsrm-2100,DSRM-2100,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/dsrm-2600/,dsrm-2600,DSRM-2600,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/hs-400/,hs-400,HS 400,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/hs-500/,hs-500,HS 500,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/mega-live-2/,mega-live-2,MEGA Live 2,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/mk-230-pcl/,mk-230-pcl,MK 230 PCL,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/mk-330-pc/,mk-330-pc,MK 330 PC,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/mk-345-pcl/,mk-345-pcl,MK 345 PCL,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/mk-460-pcl/,mk-460-pcl,MK 460 PCL,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/mp9-550r/,mp9-550r,MP9 550R,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/mp9-750r/,mp9-750r,MP9 750R,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/mp9-t400/,mp9-t400,MP9 T400,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/riptide-terrova-112/,riptide-terrova-112,Riptide Terrova 112,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/sector-250/,sector-250,Sector 250,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/sector-550-eps/,sector-550-eps,Sector 550 EPS,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/sector-750-crew/,sector-750-crew,Sector 750 Crew,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/sector-750-eps/,sector-750-eps,Sector 750 EPS,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/strike-250r/,strike-250r,Strike 250R,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/strike-550r/,strike-550r,Strike 550R,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/stryker-550/,stryker-550,Stryker 550,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/stryker-750/,stryker-750,Stryker 750,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/stryker-750-crew/,stryker-750-crew,Stryker 750 Crew,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/ultrex-80-45/,ultrex-80-45,Ultrex 80/45,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/ultrex-80-52/,ultrex-80-52,Ultrex 80/52,model-sku,specific-model,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/b/,b,B,other,unknown-single-char,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/limited-edition/,limited-edition,Limited Edition,other,merchandising-flag,reyco-category,low,
https://reyco.glvmarketing.ca/reyco-category/accessories/,accessories,Accessories,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/articulating-hedge-trimmers/,articulating-hedge-trimmers,Articulating Hedge Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/atvs/,atvs,ATVs,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/blowers/,blowers,Blowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/blowers-vacuums/,blowers-vacuums,Blowers &amp; Vacuums,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/boat/,boat,Boat,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/boat-lifts/,boat-lifts,Boat Lifts,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/brushcutters/,brushcutters,Brushcutters,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/cantilever-lifts/,cantilever-lifts,Cantilever Lifts,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/chainsaws/,chainsaws,Chainsaws,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/compact-pro-chainsaws/,compact-pro-chainsaws,Compact Pro Chainsaws,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/cordless-blowers/,cordless-blowers,Cordless Blowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/cordless-chainsaws/,cordless-chainsaws,Cordless Chainsaws,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/cordless-trimmers/,cordless-trimmers,Cordless Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/crew-utvs/,crew-utvs,Crew UTVs,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/curved-shaft-trimmers/,curved-shaft-trimmers,Curved Shaft Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/cut-off-saws/,cut-off-saws,Cut-Off Saws,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/deck-boats/,deck-boats,Deck Boats,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/docks/,docks,Docks,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/downrigger-accessories/,downrigger-accessories,Downrigger Accessories,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/downrigger-weights/,downrigger-weights,Downrigger Weights,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/downriggers/,downriggers,Downriggers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/dpas-powerheads/,dpas-powerheads,DPAS Powerheads,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/edgers/,edgers,Edgers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/electric-downriggers/,electric-downriggers,Electric Downriggers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/electric-pressure-washers/,electric-pressure-washers,Electric Pressure Washers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/electric-utvs/,electric-utvs,Electric UTVs,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/extended-reach-hedge-trimmers/,extended-reach-hedge-trimmers,Extended Reach Hedge Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/fish-finders/,fish-finders,Fish Finders,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/fishing-boats/,fishing-boats,Fishing Boats,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/floating-docks/,floating-docks,Floating Docks,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/floating-truss-docks/,floating-truss-docks,Floating Truss Docks,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/gas-pressure-washers/,gas-pressure-washers,Gas Pressure Washers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/golf-carts/,golf-carts,Golf Carts,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/handheld-blowers/,handheld-blowers,Handheld Blowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/heavy-duty-trimmers/,heavy-duty-trimmers,Heavy-Duty Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/heavy-pro-chainsaws/,heavy-pro-chainsaws,Heavy Pro Chainsaws,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/hedge-trimmers/,hedge-trimmers,Hedge Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/hidden-beam/,hidden-beam,Hidden-Beam,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/homeowner-chainsaws/,homeowner-chainsaws,Homeowner Chainsaws,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/hydraulic-lifts/,hydraulic-lifts,Hydraulic Lifts,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/hydraulic-pwc-lifts/,hydraulic-pwc-lifts,Hydraulic PWC Lifts,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/ice-electronics/,ice-electronics,ICE Electronics,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/ice-fishing-electronics/,ice-fishing-electronics,Ice Fishing Electronics,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/kayak-motors/,kayak-motors,Kayak Motors,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/lift-roof-systems/,lift-roof-systems,Lift Roof Systems,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/lift-up-docks/,lift-up-docks,Lift-Up Docks,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/live-sonar/,live-sonar,Live Sonar,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/low-noise-blowers/,low-noise-blowers,Low-Noise Blowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/manual-downriggers/,manual-downriggers,Manual Downriggers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/marine-electronics/,marine-electronics,Marine Electronics,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/marine-electronics-accessories/,marine-electronics-accessories,Marine Electronics Accessories,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/marine-railway-systems/,marine-railway-systems,Marine Railway Systems,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/mid-backpack-blowers/,mid-backpack-blowers,Mid Backpack Blowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/modular-docks/,modular-docks,Modular Docks,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/multi-tool-systems/,multi-tool-systems,Multi-Tool Systems,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/otter-swim-rafts/,otter-swim-rafts,Otter Swim Rafts,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/outboard-motors/,outboard-motors,Outboard Motors,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/pas-powerheads/,pas-powerheads,PAS Powerheads,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/pontoons/,pontoons,Pontoons,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/power-pruners/,power-pruners,Power Pruners,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/precision-chargers/,precision-chargers,Precision Chargers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/pressure-washers/,pressure-washers,Pressure Washers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/pro-backpack-blowers/,pro-backpack-blowers,Pro Backpack Blowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/pro-chainsaws/,pro-chainsaws,Pro Chainsaws,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/pro-pressure-washers/,pro-pressure-washers,Pro Pressure Washers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/pro-trimmers/,pro-trimmers,Pro Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/push-mowers/,push-mowers,Push Mowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/pwc-lifts/,pwc-lifts,PWC Lifts,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/riding-mowers/,riding-mowers,Riding Mowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/single-stage-snowblowers/,single-stage-snowblowers,Single-Stage Snowblowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/snow-plows/,snow-plows,Snow Plows,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/sport-utvs/,sport-utvs,Sport UTVs,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/standard-hedge-trimmers/,standard-hedge-trimmers,Standard Hedge Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/straight-shaft-trimmers/,straight-shaft-trimmers,Straight Shaft Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/string-trimmers/,string-trimmers,String Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/three-stage-snowblowers/,three-stage-snowblowers,Three-Stage Snowblowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/top-handle-chainsaws/,top-handle-chainsaws,Top-Handle Chainsaws,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/trailers/,trailers,Trailers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/trimmers/,trimmers,Trimmers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/trolling-motors/,trolling-motors,Trolling Motors,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/truss-pipe-docks/,truss-pipe-docks,Truss Pipe Docks,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/two-stage-snowblowers/,two-stage-snowblowers,Two-Stage Snowblowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/utility-utvs/,utility-utvs,Utility UTVs,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/utvs/,utvs,UTVs,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/vertical-pontoon-lifts/,vertical-pontoon-lifts,Vertical Pontoon Lifts,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/walk-behind-edgers/,walk-behind-edgers,Walk-Behind Edgers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/wet-slip-lifts/,wet-slip-lifts,Wet-Slip Lifts,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/x-series-blowers/,x-series-blowers,X Series Blowers,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/youth-utvs/,youth-utvs,Youth UTVs,subcategory,product-type,reyco-category,high,
https://reyco.glvmarketing.ca/reyco-category/zero-turn-mowers/,zero-turn-mowers,Zero-Turn Mowers,subcategory,product-type,reyco-category,high,
