ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Meta: _product_sku,Meta: _product_year,Meta: _product_condition,Meta: _product_stock_status,Meta: _product_specs,Meta: _product_expert_id,Meta: _product_expert_review,Meta: _lightspeed_unit_id,Meta: _product_price,Meta: _product_msrp,Meta: _lightspeed_vin,Meta: _lightspeed_web_title,Meta: _lightspeed_color,Meta: _lightspeed_class,Meta: _lightspeed_unit_type,Meta: _lightspeed_raw_json,Meta: _lightspeed_last_sync,Meta: _lightspeed_unmapped_type,Meta: _product_monthly_payment
207,simple,MK-TER80-26,,Minnkota Terrova 80,1,0,visible,A GPS-enabled trolling motor with spot-lock technology. Set your position and fish hands-free.,"<p>The Minnkota Terrova 80 is the trolling motor serious anglers choose. With 80 lbs of thrust and built-in i-Pilot GPS, you get Spot-Lock anchor technology that holds your boat within 5 feet of a waypoint, even in wind and current.</p>\n<p>The brushless, variable-speed motor runs quieter and more efficiently than conventional trolling motors, and the integrated Bluetooth lets you control everything from your smartphone. AutoPilot maintains a heading so you can focus on fishing, not steering.</p>\n<p>Vertical jigging for walleye, working a weed edge for bass, the Terrova 80 makes you a more effective angler. Stop in to see it mounted on our demo boat.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,Minn Kota,MK-TER80-26,2026,new,on_order,"Thrust|80 lbs
249,simple,MK-RTQUEST9115-100-26,,"Minn Kota Riptide Terrova QUEST 90/115 — 100""",1,0,visible,Longest-shaft Riptide Terrova. Offshore and cruiser use.,"<p>100"" shaft — the longest in the Riptide Terrova line. For offshore boats, cruisers, or transom-high applications where extra clearance matters.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_RiptideTerrova_QUEST_HeroAlt-5.webp,,,,,,,,,0,Minn Kota,MK-RTQUEST9115-100-26,2026,pre_order,on_order,"Thrust|90/115 lb variable
Shaft|100""
Rating|Saltwater
Warranty|Minn Kota Manufacturer",1,The 100-inch shaft is for customers with big cruising setups. Uncommon but critical when you need it.,,,,,,,,,,,,
250,simple,MK-RT112-87-26,,"Minn Kota Riptide Terrova 112 lb — 87"" Shaft",1,0,visible,112 lb thrust single-spec saltwater.,"<p>Single-spec 112 lb thrust Riptide Terrova. Saltwater-rated, 87"" shaft, wireless remote. Heavy-duty application for larger boats.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_RiptideTerrova_QUEST_HeroAlt-7.webp,,,,,,,,,0,Minn Kota,MK-RT112-87-26,2026,order,on_order,"Thrust|112 lb
Shaft|87""
Rating|Saltwater
Control|Wireless Remote
Warranty|Minn Kota Manufacturer",1,112 lb single-spec for customers who know exactly what thrust they want.,,,,,,,,,,,,
251,simple,MK-RT80-60-REFURB,,"Minn Kota Riptide Terrova 80 lb Refurb — 60""",1,0,visible,Factory-reconditioned Riptide Terrova 80/60. Saltwater-rated.,"<p>Factory-reconditioned Riptide Terrova 80 lb with 60"" shaft. Full Minn Kota warranty on reconditioned units, priced below new. Limited availability.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_RiptideTerrova_QUEST_HeroAlt-9.webp,,,,,,,,,0,Minn Kota,MK-RT80-60-REFURB,2026,order,on_order,"Thrust|80 lb
Shaft|60""
Condition|Factory Reconditioned
Warranty|Minn Kota Full
Rating|Saltwater",1,"Reconditioned units are a value play — same warranty, lower price. Limited stock.",,,,,,,,,,,,
252,simple,MK-KTRV55-FW-26,,Minn Kota Kayak Terrova 55 lb — Freshwater,1,0,visible,"Freshwater kayak trolling motor. 55 lb thrust, Micro Remote.","<p>Freshwater-rated kayak motor. 55 lb thrust, 36"" shaft, Micro Remote for hands-free control while fishing. Purpose-designed for kayak installation.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_KayakTerrova_HeroAlt.webp,,,,,,,,,0,Minn Kota,MK-KTRV55-FW-26,2026,order,on_order,"Thrust|55 lb
Shaft|36""
Rating|Freshwater
Control|Micro Remote
Warranty|Minn Kota Manufacturer",1,Kayak Terrova puts Minn Kota power on kayaks. Micro Remote means you control it without breaking fishing rhythm.,,,,,,,,,,,,
253,simple,MK-RTKAYAK55-26,,Minn Kota Riptide Kayak Terrova 55 lb — Saltwater,1,0,visible,"Saltwater kayak trolling motor. Same 55 lb, saltwater durability.","<p>Saltwater-rated Riptide Kayak Terrova. 55 lb thrust, 36"" shaft, Micro Remote. For kayakers fishing brackish water or trailering for saltwater trips.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_KayakTerrova_HeroAlt-2.webp,,,,,,,,,0,Minn Kota,MK-RTKAYAK55-26,2026,order,on_order,"Thrust|55 lb
Shaft|36""
Rating|Saltwater
Control|Micro Remote
Warranty|Minn Kota Manufacturer",1,Saltwater Kayak Terrova is insurance against salt-water corrosion. Worth the premium for trailering kayakers.,,,,,,,,,,,,
254,simple,MK-MK230PCL-26,,Minn Kota Precision Charger MK 230 PCL — 2 Bank × 15 Amp,1,0,visible,2-bank 15A-per-bank on-board charger.,"<p>Precision Charger MK 230 PCL — 2-bank, 15 amp per bank. For 2-battery trolling motor systems where faster charge speeds matter. Smart charging protocol protects battery life.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_1832304_MK-230PCL_3q.webp,,,,,,,,,0,Minn Kota,MK-MK230PCL-26,2026,order,on_order,"Banks|2
Amps per Bank|15
Total|30 amp
Type|On-board Smart Charger
Warranty|Minn Kota Manufacturer",1,MK 230 PCL is the 2-battery customer's charger. 15 amp per bank charges faster than older 10-amp units.,,,,,,,,,,,,
255,simple,MK-MK330PC-26,,Minn Kota Precision Charger MK 330 PC — 3 Bank × 10 Amp,1,0,visible,Entry 3-bank on-board charger.,"<p>Precision MK 330 PC — 3-bank, 10 amp per bank. Entry-spec for 3-battery trolling motor setups. Cost-effective for customers who don't need maximum charge speed.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_1833300_MK-330PC_3q2.webp,,,,,,,,,0,Minn Kota,MK-MK330PC-26,2026,order,on_order,"Banks|3
Amps per Bank|10
Total|30 amp
Type|On-board Smart Charger
Warranty|Minn Kota Manufacturer",1,MK 330 PC is the entry 3-bank charger — slower than PCL models but reliable and affordable.,,,,,,,,,,,,
256,simple,MK-MK345PCL-26,,Minn Kota Precision Charger MK 345 PCL — 3 Bank × 15 Amp,1,0,visible,3-bank 15A-per-bank charger. Faster charging for serious anglers.,"<p>Precision MK 345 PCL — 3-bank, 15 amp per bank. For 3-battery systems wanting faster charge turnaround — tournament anglers and heavy-use customers.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_1833454_MK-345PCL_3q.webp,,,,,,,,,0,Minn Kota,MK-MK345PCL-26,2026,order,on_order,"Banks|3
Amps per Bank|15
Total|45 amp
Type|On-board Smart Charger
Warranty|Minn Kota Manufacturer",1,"MK 345 PCL is the tournament-friendly 3-bank charger. Faster turnaround means less overnight charging, more fishing.",,,,,,,,,,,,
257,simple,MK-MK460PCL-26,,Minn Kota Precision Charger MK 460 PCL — 4 Bank × 15 Amp,1,0,visible,Top 4-bank high-amp charger for complex battery systems.,"<p>MK 460 PCL — 4-bank, 15 amp per bank. For boats running 4 batteries (main, trolling, house, kicker). Charges all four simultaneously at full rate.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_1834604_MK-460PCL_3q-1.webp,,,,,,,,,0,Minn Kota,MK-MK460PCL-26,2026,order,on_order,"Banks|4
Amps per Bank|15
Total|60 amp
Type|On-board Smart Charger
Warranty|Minn Kota Manufacturer",1,MK 460 PCL is the top-spec charger for complex battery setups. Rare install but critical when you need it.,,,,,,,,,,,,
258,simple,MK-MKR30-26,,Minn Kota Remote Power Switch MKR-30,1,0,visible,Dash-mounted power switch for trolling motor circuits.,"<p>The MKR-30 is a remote-mount power switch for trolling motor battery isolation. Keeps circuit controls accessible from the dash. Small piece of gear, significant install quality improvement.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_1865130_MKR-30_RemotePowerSwitch_Main.webp,,,,,,,,,0,Minn Kota,MK-MKR30-26,2026,in_stock,on_order,"Type|Remote Power Switch
Application|Trolling Motor Isolation
Warranty|Minn Kota",1,MKR-30 is one of those accessories that makes a Minn Kota install look finished. Always include it on new installs.,,,,,,,,,,,,
259,simple,MK-EC15-BULK-26,,Minn Kota Battery Charger Extension Cable MK-EC-15 (Bulk),1,0,visible,"15-foot extension cables for Precision Chargers, bulk pack.",<p>MK-EC-15 bulk pack — 15-foot extension cables for Precision Chargers. For installs where the charger and batteries are in different compartments.</p>,,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_1820089_MK-EC-15_hero.webp,,,,,,,,,0,Minn Kota,MK-EC15-BULK-26,2026,order,on_order,"Length|15 feet
Application|Precision Charger Extension
Type|Bulk Pack
Warranty|Minn Kota",1,MK-EC-15 bulk pack makes custom-cable installs clean. Keep some on the shelf for flexible placement.,,,,,,,,,,,,
260,simple,CAN-OPTIMUMTS-26,,Cannon Optimum TS Downrigger,1,0,visible,Premium electric downrigger with touchscreen — flagship Cannon.,"<p>The Optimum TS is the flagship Cannon. Touchscreen control, premium electric drive, precision depth management. For serious Great Lakes trollers running sophisticated spread configurations.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1902340_OptimumTS_3qRight-1.webp,,,,,,,,,0,Cannon,CAN-OPTIMUMTS-26,2026,order,on_order,"Type|Electric
Control|Touchscreen
Tier|Flagship
Warranty|Cannon",1,Optimum TS is the top-tier Cannon. Tournament-serious spreads justify the spend.,,,,,,,,,,,,
261,simple,CAN-OPTIMUM-26,,Cannon Optimum Downrigger,1,0,visible,"Premium electric downrigger, non-touchscreen variant.","<p>Optimum electric downrigger — premium build, precision control, analog display instead of touchscreen. For anglers who prefer tactile control over touchscreen interfaces.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1902335_Optimum_3qRight.webp,,,,,,,,,0,Cannon,CAN-OPTIMUM-26,2026,order,on_order,"Type|Electric
Control|Analog
Tier|Premium
Warranty|Cannon",1,Optimum analog is for the traditionalist who wants Optimum precision without a touchscreen.,,,,,,,,,,,,
262,simple,CAN-MAG10TS-26,,Cannon Magnum 10 TS,1,0,visible,Pro-grade electric downrigger with touchscreen. 10-foot boom.,"<p>Magnum 10 TS — 10-foot boom, high-speed retrieval, touchscreen control. The charter-grade Cannon that serious Lake Superior salmon and trout anglers run.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1902310_Magnum10TS_3qRight.webp,,,,,,,,,0,Cannon,CAN-MAG10TS-26,2026,order,on_order,"Boom|10 feet
Control|Touchscreen
Type|Electric Pro-Grade
Warranty|Cannon",1,Magnum 10 TS is the workhorse for Lake Superior salmon and lake trout trolling. Touchscreen is worth the step up.,,,,,,,,,,,,
263,simple,CAN-MAG10-26,,Cannon Magnum 10,1,0,visible,"Pro-grade Magnum without touchscreen. Analog control, same boom.","<p>Magnum 10 — same 10-foot boom and pro-grade electrics as Magnum 10 TS, analog control. For anglers who don't need the touchscreen.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1902305_Magnum10_3qRightNew.webp,,,,,,,,,0,Cannon,CAN-MAG10-26,2026,order,on_order,"Boom|10 feet
Control|Analog
Type|Electric Pro-Grade
Warranty|Cannon",1,Analog Magnum 10 is the cost-conscious pro-grade choice. Same physical capability as the TS.,,,,,,,,,,,,
264,simple,CAN-MAG5-26,,Cannon Magnum 5,1,0,visible,Mid-tier electric downrigger with 5-foot boom.,<p>Magnum 5 — mid-tier electric downrigger with 5-foot boom. Compact footprint for smaller boats while retaining Magnum precision.</p>,,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1902300_Magnum5_3qRight.webp,,,,,,,,,0,Cannon,CAN-MAG5-26,2026,order,on_order,"Boom|5 feet
Control|Analog
Type|Electric Mid-Tier
Warranty|Cannon",1,Magnum 5 is for smaller boats where a 10-foot boom doesn't fit. Same Magnum quality in a shorter footprint.,,,,,,,,,,,,
265,simple,CAN-UNI10TS-26,,Cannon Uni-Troll 10 TS,1,0,visible,Touchscreen electric Uni-Troll. 10-foot boom at mid-tier pricing.,<p>Uni-Troll 10 TS — touchscreen electric with 10-foot boom. Mid-tier pricing between the premium Magnum and the manual downrigger lines.</p>,,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1901140_Uni-Troll10TS_Hero-1.webp,,,,,,,,,0,Cannon,CAN-UNI10TS-26,2026,order,on_order,"Boom|10 feet
Control|Touchscreen
Type|Electric Mid-Tier
Warranty|Cannon",1,"Uni-Troll 10 TS hits the sweet spot — electric convenience, touchscreen, at a price below Magnum.",,,,,,,,,,,,
266,simple,CAN-UNI10-26,,Cannon Uni-Troll 10,1,0,visible,"Electric-assist Uni-Troll. 10-foot boom, analog control.","<p>Uni-Troll 10 — electric retrieval, manual lowering. 10-foot boom. Good value in the Cannon line for anglers who don't need full-electric operation.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1901130_UNI-TROLL-10_Hero-1.webp,,,,,,,,,0,Cannon,CAN-UNI10-26,2026,order,on_order,"Boom|10 feet
Control|Analog
Type|Electric-Assist
Warranty|Cannon",1,Uni-Troll 10 is electric where it counts (retrieval) and manual where it saves money (lowering). Smart compromise.,,,,,,,,,,,,
267,simple,CAN-UNI5-26,,Cannon Uni-Troll 5,1,0,visible,5-foot boom manual downrigger. Clutch-driven reliability.,"<p>Uni-Troll 5 — 5-foot boom manual. Clutch-driven lowering and retrieval. Compact footprint, reliable, parts-available for lifetime use.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1901120_Uni-Troll5_Hero-1.webp,,,,,,,,,0,Cannon,CAN-UNI5-26,2026,in_stock,on_order,"Boom|5 feet
Type|Manual
Warranty|Cannon",1,Uni-Troll 5 is the small-boat manual downrigger. Clutch drive is smoother than simpler manuals.,,,,,,,,,,,,
268,simple,CAN-EASITROLL-26,,Cannon Easi-Troll,1,0,visible,"Entry manual downrigger. Clutch simplicity, Cannon value.","<p>Easi-Troll is the entry manual downrigger. Clutch-driven smooth lowering, reliable retrieval. The best value in the Cannon line for first-time downrigger buyers.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1901020_Easi-Troll_Hero-1.webp,,,,,,,,,0,Cannon,CAN-EASITROLL-26,2026,in_stock,on_order,"Type|Manual Clutch-Driven
Tier|Entry
Warranty|Cannon",1,Easi-Troll is the entry manual Cannon. First-time downrigger buyers end up here and the unit lasts essentially forever.,,,,,,,,,,,,
269,simple,CAN-LAKETROLL-26,,Cannon Lake-Troll,1,0,visible,"Freshwater manual downrigger. Smaller footprint, inland-lake focus.","<p>Lake-Troll is freshwater-focused manual. Smaller footprint than Easi-Troll, ideal for inland-lake trolling for lake trout in Northern Ontario's smaller lakes.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1901250_Lake-Troll_Hero-1.webp,,,,,,,,,0,Cannon,CAN-LAKETROLL-26,2026,order,on_order,"Type|Manual
Rating|Freshwater
Footprint|Compact
Warranty|Cannon",1,"Lake-Troll is the inland lake angler's manual downrigger. Small boats, small lakes — this is the fit.",,,,,,,,,,,,
270,simple,CAN-MINITROLL-26,,Cannon Mini-Troll,1,0,visible,Compact manual downrigger. Smallest in the Cannon line.,<p>Mini-Troll is the smallest Cannon downrigger. For boats with limited transom real estate or anglers trying downrigging for the first time without major investment.</p>,,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/CN_1901200_Mini-Troll_Hero-1.webp,,,,,,,,,0,Cannon,CAN-MINITROLL-26,2026,order,on_order,"Type|Manual Compact
Footprint|Smallest
Warranty|Cannon",1,"Mini-Troll is the ""try it"" downrigger. Great for anglers exploring whether downrigging is their thing.",,,,,,,,,,,,
271,simple,CAN-WT-4LB-26,,Cannon Downrigger Weight — 4 lb Cannon Ball,1,0,visible,4-pound cannon-ball weight for slower trolling.,<p>4-pound Cannon ball weight. For slower trolling speeds or shallower presentations. Small and light enough to store easily.</p>,,,taxable,,backorder,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,Cannon,CAN-WT-4LB-26,2026,in_stock,on_order,"Weight|4 lb
Type|Cannon Ball
Use|Slow trolling / shallow presentations",1,4-lb ball for lighter-line setups or slower presentations. Keep one in stock for every boat.,,,,,,,,,,,,
272,simple,CAN-WT-6LB-26,,Cannon Downrigger Weight — 6 lb Cannon Ball,1,0,visible,6-pound cannon-ball weight. Most-sold size.,<p>6-pound Cannon ball — the most-sold downrigger weight at Reyco. General-purpose size for most Great Lakes trolling.</p>,,,taxable,,backorder,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,Cannon,CAN-WT-6LB-26,2026,in_stock,on_order,"Weight|6 lb
Type|Cannon Ball
Use|General-purpose Great Lakes trolling",1,6-lb is the default ball for Great Lakes trolling. Most anglers run these.,,,,,,,,,,,,
273,simple,CAN-WT-8LB-26,,Cannon Downrigger Weight — 8 lb Cannon Ball,1,0,visible,8-pound weight for deeper or faster presentations.,<p>8-pound Cannon ball. For faster trolling speeds or deeper presentations. Second-most-sold size in the Cannon weight line.</p>,,,taxable,,backorder,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,Cannon,CAN-WT-8LB-26,2026,in_stock,on_order,"Weight|8 lb
Type|Cannon Ball
Use|Faster speeds / deeper presentations",1,8-lb is our second-most-sold. Salmon anglers wanting deeper drops end up here.,,,,,,,,,,,,
274,simple,CAN-WT-10LB-26,,Cannon Downrigger Weight — 10 lb Cannon Ball,1,0,visible,10-pound heavy ball. Deep-troll serious.,<p>10-pound Cannon ball — heavy for serious deep-troll or high-speed presentations. Lake Superior salmon anglers regularly run these.</p>,,,taxable,,backorder,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,Cannon,CAN-WT-10LB-26,2026,in_stock,on_order,"Weight|10 lb
Type|Cannon Ball
Use|Serious deep-troll / high-speed",1,10-lb balls hold presentations deep at higher speeds. Lake Superior crowd runs these.,,,,,,,,,,,,
275,simple,CAN-UNISTACKER-26,,Cannon Uni-Stacker Release,1,0,visible,Release clip for running two lines off one downrigger weight.,<p>The Uni-Stacker lets you run two lines off a single downrigger weight — effectively doubling your presentations per weight. Standard gear for serious Great Lakes spread fishing.</p>,,,taxable,,backorder,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,Cannon,CAN-UNISTACKER-26,2026,in_stock,on_order,"Type|Release Clip / Line Stacker
Use|Double presentations per weight
Warranty|Cannon",1,Uni-Stackers are standard kit for serious Great Lakes trollers. Double your spread without buying another downrigger.,,,,,,,,,,,,
276,simple,HB-APEX13-26,,Humminbird APEX 13 MEGA SI+ Chartplotter,1,0,visible,13-inch flagship chartplotter with MEGA Side Imaging+.,"<p>APEX 13 is Humminbird's 13-inch flagship. MEGA Side Imaging+, MEGA Down Imaging+, CHIRP sonar, GPS chartplotting. The unit of choice for serious tournament-level boats.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/HB_411470-1VX_APEX_VX_13_alt1.webp,,,,,,,,,0,Humminbird,HB-APEX13-26,2026,order,on_order,"Display|13-inch
Imaging|MEGA SI+
Chartplotter|Yes
Warranty|Humminbird",1,"APEX 13 is where tournament anglers step up from HELIX. Significantly larger screen real estate, sharper imaging.",,,,,,,,,,,,
